Gene	sgRNA	921|beta	921|z	921|p-value	921|fdr	921|wald-p-value	921|wald-fdr
AEBP2	5	-0.018174	-0.097219	0.82761	0.96528	0.92255	0.96824
AEN	5	0.17829	0.78019	0.53293	0.87054	0.43528	0.71997
AES	5	0.33645	1.1863	0.16861	0.60333	0.23549	0.60807
AFAP1	5	0.16426	0.72193	0.57309	0.88621	0.47034	0.74016
AFAP1L1	4	0.17828	0.98542	0.56914	0.88521	0.32442	0.65466
AFAP1L2	5	0.34023	1.2999	0.16328	0.59744	0.19363	0.59478
AFF1	5	0.067135	0.39443	0.89326	0.97877	0.69327	0.86573
AFF2	5	0.1862	0.69891	0.50805	0.85931	0.48461	0.74849
AFF3	5	0.15277	0.56443	0.60769	0.89461	0.57246	0.80067
AFF4	5	-0.1195	-1.2643	0.5356	0.87181	0.20613	0.59717
AFG3L2	5	-0.39532	-1.6866	0.11146	0.51475	0.091674	0.59288
AFM	5	0.24789	0.67151	0.34111	0.76967	0.50189	0.75846
AFMID	5	-0.045159	-0.28016	0.74292	0.94211	0.77935	0.90833
AFP	4	-0.058684	-0.21658	0.72853	0.93668	0.82854	0.93009
AFTPH	5	-0.049494	-0.24241	0.72959	0.93677	0.80846	0.92132
AGA	5	0.28861	1.0423	0.24969	0.69276	0.29728	0.63834
AGAP1	5	0.21742	0.76201	0.41836	0.81447	0.44605	0.72691
AGAP2	5	-0.17126	-1.0014	0.41836	0.81447	0.31664	0.65026
AGAP3	9	0.17985	0.87884	0.38632	0.79541	0.37949	0.68481
AGAP5	1	0.30839	0.74216	0.5712	0.8858	0.45799	0.73354
AGAP6	2	0.069208	0.19018	0.9403	0.99023	0.84917	0.93865
AGAP7	1	0.66709	0.55333	0.15101	0.58305	0.58004	0.80482
AGBL1	5	0.38314	1.4118	0.10508	0.5004	0.15802	0.59288
AGBL2	5	0.29916	1.2412	0.22981	0.6757	0.21454	0.59911
AGBL3	5	-0.39438	-1.5254	0.11196	0.51514	0.12715	0.59288
AGBL4	5	0.42809	1.0158	0.064479	0.41039	0.30973	0.64673
AGBL5	5	0.18352	1.1758	0.51616	0.86375	0.23969	0.61006
AGER	5	-0.278	-0.94313	0.23531	0.67944	0.34561	0.66707
AGFG1	5	-0.2162	-1.0909	0.3315	0.76029	0.27531	0.62642
AGFG2	5	0.07415	0.37754	0.8696	0.97357	0.70577	0.87089
AGGF1	5	-0.1034	-0.45829	0.57986	0.88769	0.64674	0.8408
AGK	5	-0.20387	-0.94929	0.35422	0.7765	0.34247	0.66478
AGL	5	-0.15904	-0.75655	0.44596	0.83125	0.44932	0.72855
AGMAT	5	0.27074	1.3217	0.28824	0.72944	0.18628	0.59478
AGMO	5	0.36636	1.5284	0.12696	0.545	0.12642	0.59288
AGO1	5	0.54301	1.648	0.015051	0.19524	0.099347	0.59288
AGO2	5	-0.28947	-1.5757	0.21932	0.66247	0.1151	0.59288
AGO3	5	-0.0029148	-0.012131	0.87587	0.97521	0.99032	0.99674
AGO4	5	0.23003	1.2196	0.38398	0.7947	0.22262	0.60194
AGPAT1	5	-0.032011	-0.15699	0.78457	0.95346	0.87526	0.94818
AGPAT2	5	-0.33913	-1.6565	0.16134	0.5948	0.097614	0.59288
AGPAT3	5	0.52811	1.5649	0.017938	0.21591	0.1176	0.59288
AGPAT4	5	0.50424	1.3381	0.024048	0.25029	0.18087	0.59478
AGPAT5	5	0.20589	0.87274	0.45085	0.8339	0.38281	0.68756
AGPAT6	5	-0.21093	-1.3136	0.34094	0.76967	0.18899	0.59478
AGPAT9	5	0.22211	0.88352	0.40514	0.80746	0.37695	0.68312
AGPS	5	0.20858	1.2872	0.4428	0.83069	0.19802	0.59478
AGR2	5	0.15495	0.49551	0.60124	0.8936	0.62024	0.82549
AGR3	5	-0.080277	-0.20859	0.64256	0.90677	0.83477	0.93238
AGRN	5	0.56123	1.5159	0.011052	0.16245	0.12955	0.59288
AGRP	5	0.30234	1.5068	0.22426	0.67015	0.13186	0.59288
AGT	5	0.33261	1.2411	0.174	0.60736	0.21457	0.59911
AGTPBP1	5	0.16187	0.62049	0.58036	0.88803	0.53494	0.77755
AGTR1	5	0.46158	1.7116	0.042819	0.33682	0.08697	0.59288
AGTR2	3	0.018109	0.063348	0.94979	0.99191	0.94949	0.97947
AGTRAP	9	0.27445	1.6941	0.14423	0.5724	0.090243	0.59288
AGXT	5	0.43412	1.3031	0.060258	0.39919	0.19254	0.59478
AGXT2	5	0.29651	0.95504	0.23498	0.67944	0.33956	0.66393
AHCTF1	5	-0.41316	-1.218	0.098967	0.48635	0.22321	0.60194
AHCY	5	-0.54532	-2.321	0.037265	0.31488	0.020288	0.32492
AHCYL1	5	-0.17289	-0.87976	0.41525	0.81272	0.37899	0.68458
AHCYL2	5	-0.11099	-0.52736	0.5587	0.88302	0.59794	0.81458
AHDC1	5	0.44322	1.4216	0.053316	0.37412	0.15513	0.59288
AHI1	5	0.16263	0.75714	0.5777	0.88739	0.44897	0.72844
AHNAK	5	-0.32302	-1.7693	0.17883	0.6145	0.076851	0.59288
AHNAK2	5	0.43126	1.6517	0.062424	0.40439	0.098589	0.59288
AHR	5	0.18468	0.87784	0.51261	0.86141	0.38003	0.68525
AHRR	5	0.46488	1.1149	0.041264	0.32993	0.26488	0.62332
AHSA1	5	0.084039	0.54247	0.83833	0.9666	0.5875	0.80897
AHSA2	5	0.070815	0.52817	0.87993	0.9758	0.59738	0.81426
AHSG	5	0.32277	1.0596	0.18949	0.62906	0.28935	0.63511
AHSP	5	-0.043357	-0.27004	0.74842	0.94329	0.78713	0.91157
AICDA	5	0.40857	1.1627	0.079196	0.44455	0.24494	0.61188
AIDA	4	-0.011679	-0.047748	0.86016	0.97086	0.96192	0.98458
AIF1	9	-0.22596	-1.5078	0.17811	0.61319	0.1316	0.59288
AIF1L	8	-0.0071698	-0.044653	0.83594	0.96648	0.96438	0.9854
AIFM1	5	0.39373	0.9849	0.093358	0.47647	0.32467	0.65466
AIFM2	5	0.26071	0.91268	0.30912	0.74164	0.36141	0.67457
AIFM3	5	0.24961	0.96646	0.33655	0.76525	0.33381	0.66034
AIG1	5	0.17755	0.75699	0.53538	0.87181	0.44905	0.72844
AIM1	5	0.43133	1.5311	0.062368	0.40439	0.12576	0.59288
AIM2	5	-0.036136	-0.16268	0.77191	0.95025	0.87077	0.94652
AIMP1	5	0.082139	0.37909	0.84394	0.96768	0.70462	0.87049
AIMP2	5	0.086651	0.44041	0.82956	0.96543	0.65964	0.8474
AIP	5	0.44484	1.5713	0.052371	0.37151	0.1161	0.59288
AIPL1	6	0.21358	0.75486	0.38354	0.79457	0.45033	0.72935
AIRE	5	0.30732	1.3264	0.21465	0.65726	0.18469	0.59478
AJAP1	5	0.40476	1.5298	0.082806	0.45485	0.12606	0.59288
AJUBA	10	0.28456	1.6711	0.10996	0.51256	0.094704	0.59288
AK1	5	-0.50946	-2.3554	0.048817	0.35688	0.018505	0.30625
AK2	5	-0.22414	-0.8583	0.31756	0.74823	0.39073	0.6926
AK3	5	0.3202	1.2248	0.19344	0.63393	0.22065	0.60119
AK4	3	-0.54299	-1.6708	0.10713	0.5051	0.09476	0.59288
AK5	5	-0.032768	-0.15828	0.78252	0.95346	0.87424	0.94799
AK6	4	-0.72192	-2.3327	0.021326	0.23777	0.019666	0.31988
AK7	5	0.47667	1.3927	0.03521	0.30588	0.16371	0.59288
AK8	5	-0.25374	-1.1017	0.27074	0.71439	0.27058	0.62515
AK9	4	0.25495	0.64696	0.37082	0.78523	0.51766	0.76756
AKAP1	5	-0.11978	-0.65519	0.53521	0.87181	0.51234	0.76417
AKAP10	5	0.20748	0.85765	0.44574	0.83125	0.39109	0.69279
AKAP11	5	0.28194	0.99319	0.26336	0.70707	0.32062	0.65261
AKAP12	5	0.19759	0.86005	0.47418	0.84332	0.38976	0.69208
AKAP13	5	0.28025	0.9254	0.26708	0.71055	0.35476	0.67222
AKAP14	7	0.26374	1.0532	0.21737	0.66037	0.29225	0.63685
AKAP17A	5	0.31743	1.3573	0.19799	0.63935	0.17468	0.59322
AKAP2	5	0.090363	0.52135	0.81639	0.96123	0.60212	0.81632
AKAP3	5	-0.27008	-1.0616	0.24653	0.69131	0.28843	0.63505
AKAP4	5	0.36096	1.4234	0.13329	0.55307	0.15461	0.59288
AKAP5	5	-0.0030541	-0.012598	0.8756	0.97514	0.98995	0.99663
AKAP6	5	0.098092	0.35723	0.79057	0.95346	0.72092	0.87804
AKAP7	14	0.089662	0.55482	0.67605	0.91925	0.57902	0.80425
AKAP8	5	0.33648	1.7336	0.16855	0.60333	0.082993	0.59288
AKAP8L	5	0.025615	0.22281	0.96923	0.99607	0.82368	0.92846
AKAP9	5	0.10931	0.39208	0.74875	0.94329	0.695	0.86654
AKIP1	5	-0.42434	-1.4793	0.091914	0.47367	0.13906	0.59288
AKIRIN1	6	-0.37755	-1.659	0.096024	0.48175	0.097116	0.59288
AKIRIN2	5	-0.74801	-2.5756	0.0079973	0.13395	0.010006	0.21096
AKNA	5	-0.10042	-0.50144	0.58786	0.89153	0.61606	0.82314
AKNAD1	5	-0.43883	-1.6276	0.083361	0.45679	0.10361	0.59288
AKR1A1	5	0.3332	1.5298	0.17316	0.60709	0.12608	0.59288
AKR1B1	5	-0.18927	-0.95995	0.38226	0.7937	0.33708	0.66247
AKR1B10	5	-0.15675	-0.61075	0.45041	0.83361	0.54136	0.78201
AKR1B15	5	-0.63733	-2.1838	0.01916	0.22461	0.028979	0.4045
AKR1C1	4	-0.11841	-0.52457	0.57536	0.88686	0.59988	0.8149
AKR1C2	4	-0.16706	-0.9201	0.47073	0.84097	0.35752	0.67303
AKR1C3	5	0.15724	0.63265	0.59475	0.89234	0.52696	0.77343
AKR1C4	5	0.22013	0.92276	0.41031	0.81107	0.35613	0.67236
AKR1D1	5	-0.28682	-1.0002	0.22359	0.66922	0.31719	0.65026
AKR1E2	5	0.26647	1.1137	0.29635	0.73512	0.2654	0.62346
AKR7A2	5	0.052469	0.26837	0.94363	0.9909	0.78841	0.91213
AKR7A3	5	0.098838	0.41907	0.78868	0.95346	0.67517	0.85589
AKT1	5	0.24561	1.1099	0.34611	0.77181	0.26703	0.62372
AKT1S1	5	0.37194	1.6771	0.11946	0.53177	0.093521	0.59288
AKT2	5	0.16953	0.95076	0.55765	0.88254	0.34172	0.66478
AKT3	4	-0.053506	-0.18057	0.74303	0.94212	0.85671	0.94139
AKTIP	5	-0.27213	-0.89266	0.24336	0.6872	0.37204	0.68024
ALAD	5	0.1913	0.90666	0.49334	0.8525	0.36459	0.67652
ALAS1	5	0.08119	0.38526	0.84711	0.96814	0.70004	0.86835
ALAS2	5	0.1801	0.67738	0.52716	0.86936	0.49816	0.75676
ALB	5	0.20571	0.98158	0.45146	0.834	0.32631	0.65553
ALCAM	5	0.18421	0.61775	0.51361	0.86188	0.53674	0.77883
ALDH16A1	5	0.204	1.1462	0.45496	0.83423	0.25172	0.61638
ALDH18A1	5	0.3476	1.1894	0.15328	0.58526	0.23429	0.60665
ALDH1A1	5	0.41416	1.4958	0.074919	0.43699	0.13469	0.59288
ALDH1A2	5	-0.050342	-0.21174	0.72637	0.93615	0.83231	0.93174
ALDH1A3	5	0.36236	1.5974	0.13168	0.55158	0.11017	0.59288
ALDH1B1	5	0.28152	1.5077	0.26436	0.70823	0.13162	0.59288
ALDH1L1	5	0.34062	1.5584	0.16239	0.59564	0.11914	0.59288
ALDH1L2	5	-0.077562	-0.56116	0.64967	0.90929	0.57469	0.80166
ALDH2	5	0.18292	0.58705	0.51794	0.86486	0.55717	0.79164
ALDH3A1	5	0.62018	1.5575	0.0040542	0.086698	0.11936	0.59288
ALDH3A2	5	0.29902	1.1798	0.23003	0.6758	0.2381	0.60944
ALDH3B2	5	0.4034	1.1187	0.083916	0.45746	0.26327	0.62215
ALDH4A1	5	0.29014	1.5943	0.24714	0.6919	0.11088	0.59288
ALDH5A1	5	0.055952	0.25519	0.93086	0.98862	0.79858	0.91636
ALDH6A1	5	0.010511	0.042246	0.91797	0.98457	0.9663	0.98615
ALDH7A1	5	0.19439	0.80368	0.48362	0.84726	0.42158	0.71185
ALDH8A1	5	0.55801	1.5781	0.011829	0.16932	0.11455	0.59288
ALDH9A1	5	0.15546	0.47993	0.59986	0.89301	0.63128	0.83208
ALDOA	5	-0.079443	-0.31853	0.64495	0.90734	0.75008	0.89378
ALDOB	5	-0.10588	-0.55596	0.57303	0.8862	0.57824	0.804
ALDOC	5	0.16619	0.68669	0.56759	0.88473	0.49228	0.75348
ALG1	4	-0.51076	-1.7096	0.079029	0.44455	0.087348	0.59288
ALG10	3	-0.41861	-1.5111	0.1901	0.63041	0.13076	0.59288
ALG10B	3	-0.65017	-1.7869	0.065145	0.41288	0.07396	0.59288
ALG11	5	-0.78158	-1.9443	0.0063312	0.11765	0.051854	0.56044
ALG12	5	0.43872	1.7038	0.056703	0.38733	0.088425	0.59288
ALG13	11	-0.3958	-2.5406	0.019605	0.22818	0.011066	0.22464
ALG14	5	-0.33283	-1.3103	0.16783	0.60279	0.1901	0.59478
ALG1L	2	-0.82858	-2.2545	0.068366	0.42057	0.024162	0.36434
ALG2	5	-0.97385	-3.0455	0.00094413	0.030797	0.002323	0.086243
ALG3	5	0.30806	1.384	0.21298	0.65561	0.16637	0.59288
ALG5	5	-0.34068	-1.4396	0.15961	0.59217	0.14998	0.59288
ALG6	5	0.12556	0.33518	0.69621	0.92498	0.73749	0.88737
ALG8	5	-0.34162	-1.3228	0.15867	0.59212	0.18591	0.59478
ALG9	5	0.22152	1.0671	0.40642	0.80786	0.28594	0.63366
ALK	5	0.37465	1.366	0.11591	0.52286	0.17195	0.59288
ALKBH1	5	0.42509	1.0602	0.066478	0.4167	0.28906	0.6351
ALKBH2	5	0.43785	1.3364	0.057259	0.38841	0.18143	0.59478
ALKBH3	5	-0.16367	-0.60828	0.43597	0.82527	0.543	0.78325
ALKBH4	5	-0.5428	-2.0387	0.038209	0.31778	0.041478	0.49103
ALKBH5	5	0.16795	0.93656	0.56242	0.88351	0.34899	0.66888
ALKBH6	5	0.22948	0.69041	0.38504	0.79482	0.48993	0.75175
ALKBH7	5	0.25491	1.1944	0.323	0.75291	0.23233	0.60604
ALKBH8	5	0.1043	0.48549	0.76802	0.94986	0.62733	0.82962
ALLC	5	-0.041881	-0.1793	0.75275	0.945	0.8577	0.94139
ALMS1	5	-0.12706	-0.75767	0.51772	0.86483	0.44865	0.72825
ALOX12	5	0.52445	1.2432	0.018994	0.22338	0.2138	0.59899
ALOX12B	5	0.29891	1.0987	0.23048	0.676	0.27191	0.62528
ALOX15	5	0.37091	1.1945	0.12096	0.53458	0.23227	0.60604
ALOX15B	5	0.2041	0.82397	0.45485	0.83423	0.40996	0.70456
ALOX5	5	0.060225	0.28381	0.91531	0.984	0.77655	0.90667
ALOX5AP	5	0.038647	0.25474	0.98878	0.9991	0.79892	0.9165
ALOXE3	5	0.17055	0.96221	0.5547	0.88048	0.33595	0.66205
ALPI	5	0.15304	0.79651	0.60696	0.89437	0.42574	0.71354
ALPK1	5	0.14538	0.60922	0.63162	0.90276	0.54238	0.78273
ALPK2	5	0.25864	1.2737	0.31456	0.74615	0.20277	0.59632
ALPK3	5	-0.12288	-0.53151	0.52727	0.86936	0.59506	0.81264
ALPL	5	0.099767	0.63749	0.78546	0.95346	0.5238	0.77176
ALPP	3	0.19482	0.66613	0.59519	0.89249	0.50533	0.76014
ALPPL2	3	0.34363	1.0488	0.27613	0.72006	0.29429	0.63723
ALS2	5	-0.039133	-0.29505	0.76275	0.94955	0.76796	0.90266
ALS2CL	10	0.11208	1.0986	0.62224	0.89985	0.27192	0.62528
ALS2CR11	5	0.12585	0.40712	0.6951	0.92472	0.68392	0.85987
ALS2CR12	5	0.026282	0.14324	0.97084	0.99607	0.8861	0.95317
ALX1	5	0.27121	1.5986	0.2869	0.72812	0.10991	0.59288
ALX3	5	-0.13338	-0.67408	0.5025	0.85701	0.50026	0.75779
ALX4	5	0.34968	1.1391	0.15039	0.58187	0.25467	0.61703
ALYREF	5	-1.599	-4.1102	0	0	3.954e-05	0.0067749
AMACR	5	-0.014618	-0.059047	0.83828	0.9666	0.95291	0.98062
AMBN	4	0.36813	0.90015	0.16817	0.60283	0.36804	0.67774
AMBP	5	0.15755	0.81697	0.59414	0.89233	0.41395	0.70663
AMBRA1	5	0.29779	1.2758	0.23259	0.6781	0.20204	0.59632
AMD1	5	-0.7544	-2.2836	0.0076641	0.13213	0.022393	0.34686
AMDHD1	5	-0.15481	-0.58093	0.45413	0.83423	0.56129	0.79337
AMDHD2	5	0.08322	0.24736	0.84061	0.96741	0.80463	0.91917
AMELX	6	0.20902	0.86782	0.39576	0.80221	0.38549	0.6892
AMELY	5	0.60554	1.6768	0.0056092	0.10954	0.093587	0.59288
AMER1	5	0.41007	1.4057	0.077974	0.44151	0.1598	0.59288
AMER2	5	0.1315	0.45874	0.677	0.91925	0.64642	0.84058
AMER3	5	0.045164	0.21785	0.96779	0.99577	0.82754	0.92979
AMFR	5	0.45043	1.6214	0.04865	0.35639	0.10492	0.59288
AMH	4	0.23978	1.4817	0.40531	0.80748	0.13841	0.59288
AMHR2	5	0.14979	0.69316	0.61674	0.89854	0.48821	0.75092
AMICA1	5	0.18149	0.73756	0.52238	0.86718	0.46078	0.73555
AMIGO1	5	0.16251	0.87287	0.57803	0.88763	0.38273	0.68756
AMIGO2	5	0.15647	1.0421	0.59697	0.89277	0.29739	0.63834
AMIGO3	5	0.58084	1.4402	0.0086638	0.14118	0.14982	0.59288
AMMECR1	5	0.19594	1.4907	0.47895	0.84516	0.13604	0.59288
AMMECR1L	5	0.095518	0.39963	0.79962	0.95611	0.68943	0.86371
AMN	5	0.40039	1.4588	0.086193	0.46149	0.14462	0.59288
AMN1	5	0.15933	0.89158	0.5888	0.8916	0.37262	0.68055
AMOT	5	0.34869	1.417	0.15178	0.58348	0.15649	0.59288
AMOTL1	5	0.23651	0.68855	0.36766	0.78326	0.49111	0.75259
AMOTL2	5	0.385	1.4397	0.1028	0.49545	0.14996	0.59288
AMPD1	5	-0.016531	-0.0606	0.83267	0.96543	0.95168	0.98026
AMPD2	5	0.2334	1.0133	0.37582	0.78989	0.3109	0.64695
AMPD3	5	0.23641	1.1363	0.36782	0.78326	0.25582	0.61764
AMPH	5	0.082059	0.39465	0.844	0.96768	0.6931	0.86573
AMT	5	0.32585	1.1353	0.18388	0.62143	0.25623	0.6177
AMTN	5	-0.036308	-0.15341	0.77141	0.95025	0.87807	0.9497
AMY1B	1	-0.60523	-0.71666	0.30762	0.74117	0.47358	0.74221
AMY2A	3	0.2195	0.77838	0.53593	0.87206	0.43634	0.72094
AMY2B	1	0.08492	0.21327	0.92758	0.98776	0.83111	0.93089
AMZ1	5	0.45849	1.3507	0.045096	0.34656	0.17681	0.59406
AMZ2	5	-0.43412	-1.7944	0.085305	0.45913	0.072749	0.59288
ANAPC1	4	-0.64193	-1.5497	0.034433	0.30244	0.12122	0.59288
ANAPC10	5	-1.2799	-3.582	0	0	0.00034091	0.025577
ANAPC11	9	-0.44443	-2.2728	0.019771	0.22909	0.023036	0.35272
ANAPC13	3	0.26342	0.90026	0.43574	0.82511	0.36798	0.67774
ANAPC15	6	0.14301	0.86583	0.59947	0.89288	0.38658	0.68997
ANAPC16	5	-0.32065	-1.4376	0.1815	0.61812	0.15054	0.59288
ANAPC2	5	-0.41612	-1.5302	0.097245	0.48398	0.12596	0.59288
ANAPC4	5	-0.23418	-0.61914	0.30173	0.73703	0.53582	0.77819
ANAPC5	5	-0.17602	-0.47927	0.40875	0.81004	0.63174	0.83243
ANAPC7	5	0.30683	0.9549	0.21559	0.65841	0.33963	0.66393
ANG	5	-0.0803	-0.31285	0.64245	0.90677	0.75439	0.89613
ANGEL1	5	0.054461	0.30611	0.93674	0.98979	0.75952	0.89848
ANGEL2	5	-0.43442	-1.6832	0.085194	0.45913	0.092339	0.59288
ANGPT1	5	-0.62033	-2.0061	0.021826	0.24037	0.044841	0.51625
ANGPT2	5	0.22639	1.0091	0.39276	0.80041	0.3129	0.64781
ANGPT4	5	0.39664	1.5042	0.090303	0.46994	0.13253	0.59288
ANGPTL1	5	0.03308	0.17157	0.99367	0.99944	0.86377	0.94376
ANGPTL2	5	0.14522	0.74238	0.63234	0.90324	0.45786	0.73354
ANGPTL3	5	-0.091942	-0.27627	0.60952	0.89594	0.78234	0.91003
ANGPTL4	5	-0.017255	-0.1571	0.83078	0.96543	0.87516	0.94815
ANGPTL5	5	-0.53567	-1.6496	0.040375	0.32572	0.099033	0.59288
ANGPTL6	5	0.088883	0.44326	0.8215	0.96317	0.65757	0.8467
ANGPTL7	5	0.07229	0.38654	0.87476	0.97463	0.69909	0.86795
ANHX	5	0.20544	0.97558	0.45207	0.834	0.32927	0.65776
ANK1	13	0.11937	0.67813	0.53199	0.87023	0.49769	0.75656
ANK2	5	0.014696	0.09068	0.93186	0.98863	0.92775	0.97069
ANK3	5	0.13157	0.58607	0.67666	0.91925	0.55783	0.792
ANKAR	5	0.2122	0.80282	0.43274	0.82318	0.42208	0.71213
ANKDD1A	5	0.049045	0.24546	0.95568	0.99237	0.8061	0.92017
ANKDD1B	5	0.20185	0.90869	0.46146	0.83836	0.36351	0.67582
ANKEF1	5	0.39478	1.1609	0.092247	0.47476	0.24568	0.61259
ANKFN1	5	0.44879	1.1798	0.049428	0.35829	0.23808	0.60944
ANKFY1	5	0.2635	1.36	0.30301	0.7373	0.17383	0.59314
ANKH	5	0.35398	1.2824	0.14384	0.572	0.1997	0.59478
ANKHD1	5	-0.029755	-0.13607	0.79212	0.95376	0.89176	0.95549
ANKHD1-EIF4EBP3	5	0.25698	1.1684	0.31828	0.7485	0.24263	0.61077
ANKIB1	5	0.27558	1.0024	0.2778	0.72176	0.31616	0.65
ANKK1	5	0.20528	0.87463	0.45224	0.834	0.38177	0.68687
ANKLE1	5	0.3187	1.5974	0.19605	0.63776	0.11019	0.59288
ANKLE2	5	-1.2272	-3.5419	5.5537e-05	0.002924	0.00039733	0.027838
ANKMY1	5	0.32026	0.97823	0.19321	0.63393	0.32796	0.65679
ANKMY2	5	-0.73804	-2.6245	0.0084416	0.13919	0.008678	0.19243
ANKRA2	5	-0.53886	-1.5117	0.039098	0.32015	0.13061	0.59288
ANKRD1	5	-0.35766	-1.2984	0.14179	0.56822	0.19416	0.59478
ANKRD10	5	0.17931	0.74289	0.5296	0.86936	0.45755	0.73349
ANKRD11	5	0.17144	0.7481	0.55209	0.87973	0.4544	0.73137
ANKRD12	5	0.0088372	0.039415	0.91236	0.98324	0.96856	0.98748
ANKRD13A	5	0.41229	1.5213	0.076197	0.43862	0.12817	0.59288
ANKRD13B	5	-0.26195	-1.7296	0.25891	0.70336	0.083707	0.59288
ANKRD13C	4	0.49987	1.1483	0.047706	0.35473	0.25085	0.61607
ANKRD13D	5	0.1143	0.77931	0.73276	0.93687	0.4358	0.72044
ANKRD16	5	0.52177	1.6602	0.019882	0.22978	0.096874	0.59288
ANKRD17	5	-0.12724	-0.54316	0.51711	0.86445	0.58702	0.80885
ANKRD18A	5	-0.33888	-1.3756	0.16156	0.59525	0.16894	0.59288
ANKRD2	5	0.29891	1.149	0.23048	0.676	0.25057	0.61607
ANKRD22	4	-0.10529	-0.34819	0.6073	0.89443	0.72769	0.88107
ANKRD23	5	0.022711	0.063428	0.95751	0.99237	0.94943	0.97947
ANKRD24	5	0.1434	0.80481	0.6379	0.90532	0.42093	0.71155
ANKRD26	5	0.46809	1.6064	0.039154	0.32045	0.10818	0.59288
ANKRD27	5	-0.10959	-0.55456	0.56259	0.88351	0.57919	0.80433
ANKRD28	5	-0.022528	-0.080636	0.81384	0.96054	0.93573	0.97459
ANKRD29	5	0.54921	1.4488	0.013551	0.1825	0.14739	0.59288
ANKRD30A	5	0.1294	0.76428	0.68411	0.92159	0.4447	0.72609
ANKRD30B	5	0.46982	0.91095	0.038265	0.31795	0.36232	0.67521
ANKRD31	5	0.11517	0.54718	0.73048	0.93677	0.58425	0.80734
ANKRD32	5	0.025683	0.12895	0.9694	0.99607	0.8974	0.95732
ANKRD33	5	0.13702	0.76061	0.65867	0.91245	0.44689	0.7273
ANKRD33B	5	0.17656	0.53446	0.53849	0.87238	0.59302	0.8117
ANKRD34A	5	0.47032	1.2669	0.038154	0.31778	0.20521	0.59679
ANKRD34B	5	-0.1757	-0.72228	0.40964	0.81072	0.47012	0.74016
ANKRD34C	5	0.28366	1.1357	0.25925	0.70336	0.25607	0.61766
ANKRD35	4	0.23949	0.72552	0.40598	0.80782	0.46813	0.7385
ANKRD36	5	-0.8261	-2.9746	0.0041653	0.088548	0.0029337	0.09837
ANKRD37	5	0.26563	1.168	0.29823	0.73622	0.24279	0.61084
ANKRD39	5	0.084513	0.46157	0.83678	0.96654	0.64439	0.83988
ANKRD40	5	-0.37435	-1.3477	0.12824	0.54548	0.17776	0.59427
ANKRD42	5	0.087703	0.26746	0.82628	0.96493	0.78912	0.9126
ANKRD44	5	0.201	0.86017	0.46385	0.83923	0.3897	0.69208
ANKRD45	5	0.09543	0.48542	0.7999	0.95637	0.62738	0.82962
ANKRD46	5	0.19576	0.69145	0.47951	0.84578	0.48928	0.75139
ANKRD49	5	-0.14742	-0.54604	0.4704	0.84086	0.58504	0.80768
ANKRD50	5	-0.010213	-0.04995	0.85194	0.96886	0.96016	0.98376
ANKRD52	5	-0.19735	-1.2845	0.36671	0.7827	0.19898	0.59478
ANKRD53	5	0.43329	1.0647	0.060646	0.39927	0.28703	0.63431
ANKRD54	5	-0.46497	-1.8358	0.06931	0.42302	0.066389	0.59288
ANKRD55	5	0.34152	1.2287	0.16156	0.59525	0.21918	0.60021
ANKRD6	5	0.58794	1.4141	0.0077196	0.13213	0.15733	0.59288
ANKRD61	5	0.69324	1.5679	0.0012774	0.038917	0.1169	0.59288
ANKRD62	5	0.3775	1.6199	0.11235	0.51514	0.10525	0.59288
ANKRD65	9	-0.1265	-0.71697	0.39204	0.79998	0.47339	0.74207
ANKRD66	5	-0.23602	-1.0183	0.29923	0.73622	0.30854	0.64569
ANKRD7	5	0.43813	0.9847	0.057148	0.38824	0.32477	0.65466
ANKRD9	5	0.51096	1.5086	0.022215	0.24171	0.1314	0.59288
ANKS1A	5	0.10792	0.62449	0.75419	0.94595	0.53231	0.77624
ANKS1B	16	0.046741	0.38946	0.89942	0.9801	0.69694	0.86715
ANKS3	5	0.3227	1.2135	0.18971	0.62956	0.22493	0.60194
ANKS4B	5	0.35257	1.9455	0.14617	0.57618	0.051711	0.5599
ANKS6	5	0.17053	0.87718	0.55476	0.88048	0.38039	0.68555
ANKZF1	5	0.1234	0.66541	0.70277	0.92717	0.50579	0.76064
ANLN	5	0.2946	0.97238	0.23831	0.68154	0.33086	0.6588
ANO1	5	0.20405	0.94412	0.4549	0.83423	0.34511	0.66657
ANO10	5	0.17427	0.8906	0.54354	0.87393	0.37314	0.68066
ANO3	5	-0.0092054	-0.036887	0.85533	0.96941	0.97058	0.98835
ANO4	5	0.1727	0.77162	0.54859	0.87752	0.44034	0.72383
ANO5	5	0.099409	0.61265	0.78707	0.95346	0.54011	0.78139
ANO6	5	0.26166	0.93314	0.30773	0.74117	0.35075	0.66982
ANO7	5	0.34458	1.4453	0.15773	0.59044	0.14838	0.59288
ANO8	5	0.18749	0.70856	0.50355	0.85716	0.4786	0.74501
ANO9	5	0.44119	1.3677	0.054648	0.37934	0.1714	0.59288
ANP32A	5	0.023995	0.11874	0.96223	0.99324	0.90548	0.9604
ANP32B	5	-0.66943	-2.2348	0.015384	0.19772	0.025432	0.37374
ANP32D	4	-0.26389	-0.95306	0.29934	0.73622	0.34056	0.66422
ANP32E	10	-0.24625	-1.1459	0.12851	0.54563	0.25183	0.61638
